latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
48.4565,38.77526,300.11,0.59,0.7,2024-01-01,0046,N,VIIRS,n,2,270.17,2.56,N,0
48.45916,38.76776,323.04,0.59,0.7,2024-01-01,0046,N,VIIRS,n,2,270.37,2.56,N,2
48.52818,34.65273,313.22,0.4,0.6,2024-01-01,0046,N,VIIRS,n,2,273.4,4.54,N,3
48.53128,34.64263,367,0.4,0.6,2024-01-01,0046,N,VIIRS,h,2,273.34,6.39,N,3
48.53633,34.64633,310.02,0.4,0.6,2024-01-01,0046,N,VIIRS,n,2,271.93,6.39,N,3
47.42813,35.30114,300.28,0.46,0.64,2024-01-01,0047,N,VIIRS,n,2,270.14,0.75,N,0
47.87023,35.16149,302.79,0.44,0.62,2024-01-01,0047,N,VIIRS,n,2,273.7,2.13,N,3
47.8772,35.15986,301.56,0.44,0.62,2024-01-01,0047,N,VIIRS,n,2,271.9,0.77,N,2
44.77109,33.85927,299.11,0.48,0.65,2024-01-01,0047,N,VIIRS,n,2,272.69,0.88,N,2
44.77377,33.86025,298.34,0.48,0.65,2024-01-01,0047,N,VIIRS,n,2,272.71,0.82,N,2
47.15633,30.78158,301.8,0.6,0.53,2024-01-01,0047,N,VIIRS,n,2,268.68,1,N,0
47.86502,33.44139,303.88,0.37,0.58,2024-01-01,0047,N,VIIRS,n,2,270.31,1.12,N,2
48.06039,37.95761,327.82,0.46,0.39,2024-01-01,1033,N,VIIRS,n,2,280.15,3.04,D,2
47.27897,34.59097,339.04,0.42,0.45,2024-01-03,0955,N,VIIRS,n,2,275.83,5.5,D,0
47.86938,35.16251,329.12,0.39,0.44,2024-01-03,0956,N,VIIRS,n,2,275.06,3.22,D,2
47.87709,35.15862,338.36,0.39,0.44,2024-01-03,0956,N,VIIRS,n,2,278.37,18.08,D,2
48.22212,38.24298,297.22,0.38,0.36,2024-01-04,2331,N,VIIRS,n,2,267.45,0.57,N,2
48.21478,38.24578,305.65,0.38,0.36,2024-01-04,2331,N,VIIRS,n,2,270.06,1.52,N,2
48.21151,38.24462,307.38,0.38,0.36,2024-01-04,2331,N,VIIRS,n,2,268.25,1.26,N,2
47.85981,33.45248,345.66,0.57,0.69,2024-01-05,0918,N,VIIRS,n,2,277.19,17.9,D,0
47.8574,33.44548,352.31,0.57,0.69,2024-01-05,0918,N,VIIRS,n,2,279.75,17.9,D,0
45.45697,29.16095,330.67,0.39,0.36,2024-01-05,1058,N,VIIRS,n,2,286.32,4.26,D,0
46.11396,29.35522,329.33,0.4,0.37,2024-01-05,1058,N,VIIRS,n,2,284.92,3.04,D,0
47.88156,33.40086,311.63,0.47,0.48,2024-01-05,2313,N,VIIRS,n,2,272.56,1.48,N,3
48.21265,38.24585,325.73,0.46,0.39,2024-01-05,2313,N,VIIRS,n,2,270.66,3.2,N,2
48.06046,37.9544,296.67,0.47,0.4,2024-01-05,2313,N,VIIRS,n,2,274.99,1.3,N,2
44.77125,33.86221,298.89,0.42,0.45,2024-01-05,2314,N,VIIRS,n,2,273.96,0.88,N,2
48.45791,38.77077,327,0.68,0.74,2024-01-06,0052,N,VIIRS,n,2,270.67,3.6,N,2
48.08484,22.96614,326.1,0.41,0.37,2024-01-09,1124,N,VIIRS,n,2,275.46,2.13,D,0
48.04025,37.70776,325.03,0.39,0.36,2024-01-09,2338,N,VIIRS,n,2,256.2,1.66,N,0
47.86755,33.42888,367,0.55,0.68,2024-01-12,2241,N,VIIRS,h,2,262.94,7.51,N,2
47.87797,35.15281,345.82,0.46,0.63,2024-01-12,2241,N,VIIRS,n,2,260.38,6.19,N,0
49.99803,34.26872,320.47,0.51,0.66,2024-01-12,2241,N,VIIRS,n,2,251.08,3.78,N,0
48.46124,38.77526,350.81,0.32,0.55,2024-01-13,0021,N,VIIRS,n,2,262.12,4.07,N,2
