raion_id,week_start,firms_event_count,firms_high_conf_count,firms_nominal_conf_count,firms_low_conf_count,firms_day_count,firms_night_count,firms_type0_count,firms_type2_count,firms_frp_sum,firms_frp_mean,firms_frp_max,firms_near_roads_count,firms_near_rail_count,firms_near_roads_share,firms_near_rail_share,firms_bright_ti4_mean,raion_name,oblast_name,firms_event_count_lag1,firms_event_count_roll4_sum,firms_frp_sum_lag1,firms_frp_sum_roll4_sum,firms_change_vs_prev_week
UA0102,2022-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,Bakhchysaraiskyi,Autonomous Republic of Crimea,,,,,
UA0102,2023-01-02,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.46,0.46,0.46,0.0,0.0,0.0,0.0,296.96,Bakhchysaraiskyi,Autonomous Republic of Crimea,0.0,0.0,0.0,0.0,1.0
UA0102,2023-01-09,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.57,0.57,0.57,0.0,0.0,0.0,0.0,295.09,Bakhchysaraiskyi,Autonomous Republic of Crimea,1.0,1.0,0.46,0.46,0.0
UA0102,2023-01-16,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.09,2.09,2.09,0.0,0.0,0.0,0.0,327.57,Bakhchysaraiskyi,Autonomous Republic of Crimea,1.0,2.0,0.57,1.03,0.0
UA0102,2023-01-23,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.31,3.31,3.31,0.0,0.0,0.0,0.0,328.08,Bakhchysaraiskyi,Autonomous Republic of Crimea,1.0,3.0,2.09,3.12,0.0
UA0102,2023-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,Bakhchysaraiskyi,Autonomous Republic of Crimea,1.0,4.0,3.31,6.43,-1.0
UA0102,2023-02-06,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.55,0.55,0.55,0.0,0.0,0.0,0.0,301.62,Bakhchysaraiskyi,Autonomous Republic of Crimea,0.0,3.0,0.0,5.970000000000001,1.0
UA0102,2023-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,Bakhchysaraiskyi,Autonomous Republic of Crimea,1.0,3.0,0.55,5.95,-1.0
UA0102,2023-02-20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.28,2.28,2.28,0.0,0.0,0.0,0.0,327.33,Bakhchysaraiskyi,Autonomous Republic of Crimea,0.0,2.0,0.0,3.8600000000000003,1.0
UA0102,2023-02-27,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.64,0.64,0.64,0.0,0.0,0.0,0.0,296.99,Bakhchysaraiskyi,Autonomous Republic of Crimea,1.0,2.0,2.28,2.8299999999999996,0.0
