raion_id,raion_name,oblast_name,unosat_feature_count_pre2024,unosat_damage_point_count_pre2024,unosat_damage_polygon_count_pre2024,unosat_damage_area_km2_pre2024,unosat_flood_feature_count_pre2024,unosat_flood_area_km2_pre2024,unosat_affected_road_count_pre2024,unosat_affected_urban_area_km2_pre2024,unosat_feature_count_2022,unosat_feature_count_2023,unosat_unique_source_layers
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0106,Dzhankoiskyi,Autonomous Republic of Crimea,1.0,0.0,0.0,0.0,1.0,2.353354056020265,0.0,0.0,0.0,1.0,1.0
UA0108,Yevpatoriiskyi,Autonomous Republic of Crimea,1.0,0.0,0.0,0.0,1.0,0.2615827568823383,0.0,0.0,0.0,1.0,1.0
UA0110,Kerchenskyi,Autonomous Republic of Crimea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0112,Kurmanskyi,Autonomous Republic of Crimea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0114,Perekopskyi,Autonomous Republic of Crimea,2.0,0.0,0.0,0.0,2.0,12.234997782851844,0.0,0.0,0.0,2.0,2.0
UA0116,Simferopolskyi,Autonomous Republic of Crimea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0118,Feodosiiskyi,Autonomous Republic of Crimea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0120,Yaltynskyi,Autonomous Republic of Crimea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0502,Vinnytskyi,Vinnytska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0504,Haisynskyi,Vinnytska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0506,Zhmerynskyi,Vinnytska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0508,Mohyliv-Podilskyi,Vinnytska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0510,Tulchynskyi,Vinnytska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0512,Khmilnytskyi,Vinnytska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0702,Volodymyrskyi,Volynska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0704,Kamin-Kashyrskyi,Volynska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0706,Kovelskyi,Volynska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA0708,Lutskyi,Volynska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1202,Dniprovskyi,Dnipropetrovska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1204,Kamianskyi,Dnipropetrovska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1206,Kryvorizkyi,Dnipropetrovska,4.0,0.0,0.0,0.0,3.0,290.88907366838544,0.0,0.0,0.0,4.0,4.0
UA1208,Nikopolskyi,Dnipropetrovska,3.0,0.0,0.0,0.0,2.0,737.6853549883597,0.0,0.0,0.0,3.0,3.0
UA1210,Samarivskyi,Dnipropetrovska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1212,Pavlohradskyi,Dnipropetrovska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA1214,Synelnykivskyi,Dnipropetrovska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
