raion_id,raion_name,oblast_name,source_group,feature_kind,geom_kind,source_layer,source_package,event_date,feature_count,feature_area_km2,event_year
UA1414,Mariupolskyi,Donetska,damage,damage_point,point,Damage_Point_All_No_Military_V2,CE20220223UKR_UNOSAT_Damage_shp.zip,2022-03-14,783,0.0,2022
UA6312,Kharkivskyi,Kharkivska,damage,damage,polygon,Kharkiv_23March2022_RDA,CE20220223UKR_UNOSAT_Damage_shp.zip,2022-03-23,3601,372.6623333976206,2022
UA5908,Sumskyi,Sumska,damage,damage,polygon,Sumy_22March2022_RDA,CE20220223UKR_UNOSAT_Damage_shp.zip,2022-03-20,1111,110.60902438648036,2022
UA4802,Bashtanskyi,Mykolaivska,damage,affected_urban,polygon,ICEYE_20230607_AffectedUrbanArea_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,1.4747544555810803,2023
UA6502,Beryslavskyi,Khersonska,damage,affected_urban,polygon,ICEYE_20230607_AffectedUrbanArea_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,1.634566626143442,2023
UA6506,Kakhovskyi,Khersonska,damage,affected_urban,polygon,ICEYE_20230607_AffectedUrbanArea_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,6.824630044156769,2023
UA6508,Skadovskyi,Khersonska,damage,affected_urban,polygon,ICEYE_20230607_AffectedUrbanArea_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,22.66188446006219,2023
UA6510,Khersonskyi,Khersonska,damage,affected_urban,polygon,ICEYE_20230607_AffectedUrbanArea_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,53.94097433001131,2023
UA4802,Bashtanskyi,Mykolaivska,flood,flood,polygon,ICEYE_20230607_FloodExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,22.06944702255548,2023
UA6502,Beryslavskyi,Khersonska,flood,flood,polygon,ICEYE_20230607_FloodExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,25.862352081658145,2023
UA6506,Kakhovskyi,Khersonska,flood,flood,polygon,ICEYE_20230607_FloodExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,21.77358262705902,2023
UA6508,Skadovskyi,Khersonska,flood,flood,polygon,ICEYE_20230607_FloodExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,134.13300198348205,2023
UA6510,Khersonskyi,Khersonska,flood,flood,polygon,ICEYE_20230607_FloodExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,316.9297702733722,2023
UA4802,Bashtanskyi,Mykolaivska,flood,flood,polygon,ICEYE_20230607_WaterExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,24.30258294950382,2023
UA6502,Beryslavskyi,Khersonska,flood,flood,polygon,ICEYE_20230607_WaterExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,38.06797987343708,2023
UA6506,Kakhovskyi,Khersonska,flood,flood,polygon,ICEYE_20230607_WaterExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,36.849048569122544,2023
UA6508,Skadovskyi,Khersonska,flood,flood,polygon,ICEYE_20230607_WaterExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,186.96996308145629,2023
UA6510,Khersonskyi,Khersonska,flood,flood,polygon,ICEYE_20230607_WaterExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,413.3937662945727,2023
UA4802,Bashtanskyi,Mykolaivska,flood,flood,polygon,ICEYE_20230607_WaterExtentOutsideRiverBed_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,24.30258294950382,2023
UA6502,Beryslavskyi,Khersonska,flood,flood,polygon,ICEYE_20230607_WaterExtentOutsideRiverBed_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,9.337227527313491,2023
UA6506,Kakhovskyi,Khersonska,flood,flood,polygon,ICEYE_20230607_WaterExtentOutsideRiverBed_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,10.583860422486604,2023
UA6508,Skadovskyi,Khersonska,flood,flood,polygon,ICEYE_20230607_WaterExtentOutsideRiverBed_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,55.910203191456574,2023
UA6510,Khersonskyi,Khersonska,flood,flood,polygon,ICEYE_20230607_WaterExtentOutsideRiverBed_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-07,1,123.86165366900069,2023
UA4802,Bashtanskyi,Mykolaivska,flood,flood,polygon,L9_20230609_WaterExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-09,1,40.71243494895995,2023
UA4804,Voznesenskyi,Mykolaivska,flood,flood,polygon,L9_20230609_WaterExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-09,1,0.022508319190613066,2023
UA5110,Odeskyi,Odeska,flood,flood,polygon,L9_20230609_WaterExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-09,1,0.0027008530647372334,2023
UA6502,Beryslavskyi,Khersonska,flood,flood,polygon,L9_20230609_WaterExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-09,1,22.773618350640575,2023
UA6506,Kakhovskyi,Khersonska,flood,flood,polygon,L9_20230609_WaterExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-09,1,17.716763021272932,2023
UA6508,Skadovskyi,Khersonska,flood,flood,polygon,L9_20230609_WaterExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-09,1,114.913125265758,2023
UA6510,Khersonskyi,Khersonska,flood,flood,polygon,L9_20230609_WaterExtent_KhersonskaOblast_UKR,FL20230606UKR_SHP.zip,2023-06-09,1,269.1351811479824,2023
UA0106,Dzhankoiskyi,Autonomous Republic of Crimea,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,2.353354056020265,2023
UA0108,Yevpatoriiskyi,Autonomous Republic of Crimea,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,0.2615827568823383,2023
UA0114,Perekopskyi,Autonomous Republic of Crimea,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,11.633234913546728,2023
UA1206,Kryvorizkyi,Dnipropetrovska,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,0.8142824118123534,2023
UA2304,Vasylivskyi,Zaporizka,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,1.5039512788319547,2023
UA4802,Bashtanskyi,Mykolaivska,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,2.453111638951814,2023
UA4806,Mykolaivskyi,Mykolaivska,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,6.763177980596746,2023
UA5110,Odeskyi,Odeska,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,0.06418077840196507,2023
UA6502,Beryslavskyi,Khersonska,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,5.065421170191918,2023
UA6504,Henicheskyi,Khersonska,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,7.350998436580454,2023
UA6506,Kakhovskyi,Khersonska,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,21.375882290289397,2023
UA6508,Skadovskyi,Khersonska,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,110.99848677130221,2023
UA6510,Khersonskyi,Khersonska,flood,flood,polygon,MODIS_AquaTerra_20230607_FloodExtent_NK_Dam,FL20230606UKR_SHP.zip,2023-06-07,1,181.81458931518407,2023
