raion_id,raion_name,oblast_name,area_sqkm,border_crossing_count,nearest_border_crossing_km,populated_place_count,place_count_city,place_count_settlement,place_count_village,pop_2022_sum,pop_2022_mean,pop_2023_sum,pop_2023_mean,pop_change_abs_2022_2023,pop_change_pct_2022_2023,pop_2023_per_sqkm,places_per_10k_pop_2023,border_crossings_per_1000sqkm
UA0102,Bakhchysaraiskyi,Autonomous Republic of Crimea,2381.30724866,0,485.9824667313104,116,2,4,110,359362.125,4.325286865234375,304373.75,3.627988815307617,-54988.375,-0.153016612421245,127.81792444938637,3.811103947038797,0.0
UA0104,Bilohirskyi,Autonomous Republic of Crimea,2929.48053403,0,508.4412371769701,138,1,2,135,111396.234375,2.243133068084717,96107.90625,1.912709355354309,-15288.328125,-0.13724277315814787,32.807149640891176,14.358860304481974,0.0
UA0106,Dzhankoiskyi,Autonomous Republic of Crimea,2173.95403184,0,481.6867177148613,114,1,2,111,107059.3359375,2.6229746341705322,92363.453125,2.235212564468384,-14695.8828125,-0.13726857806290976,42.4863873716893,12.342544171201373,0.0
UA0108,Yevpatoriiskyi,Autonomous Republic of Crimea,3870.10212166,0,392.09028926995256,118,2,5,111,260840.421875,4.203239440917969,225038.140625,3.598249912261963,-35802.28125,-0.13725741199405503,58.14785593525231,5.243555588944957,0.0
UA0110,Kerchenskyi,Autonomous Republic of Crimea,3025.63400674,0,393.35227450305626,69,2,2,65,219082.40625,4.305695533752441,189030.15625,3.690769672393799,-30052.25,-0.1371732697043079,62.47621352381363,3.650211234483916,0.0
UA0112,Kurmanskyi,Autonomous Republic of Crimea,3247.54870977,0,464.9338867970137,126,0,3,123,118522.8125,2.5408997535705566,102256.609375,2.1687510013580322,-16266.203125,-0.13724111655720286,31.487321211647686,12.321941903816425,0.0
UA0114,Perekopskyi,Autonomous Republic of Crimea,2476.45395199,0,406.8198879314957,84,2,2,80,107734.6796875,2.9987106323242188,92946.828125,2.561577081680298,-14787.8515625,-0.13726175828799325,37.5322254832604,9.037425127303127,0.0
UA0116,Simferopolskyi,Autonomous Republic of Crimea,1854.88122611,0,495.211743446201,115,1,7,107,535147.25,7.302972793579102,461701.9375,6.253666400909424,-73445.3125,-0.13724318400216015,248.9118607708738,2.4907844360085667,0.0
UA0118,Feodosiiskyi,Autonomous Republic of Crimea,2709.38617131,0,478.5898117237091,112,3,8,101,224672.25,3.7026360034942627,193832.984375,3.170988082885742,-30839.265625,-0.13726334972387555,71.54129094904212,5.778170333657899,0.0
UA0120,Yaltynskyi,Autonomous Republic of Crimea,889.70356648,0,539.7957301970216,58,3,22,33,198181.78125,7.031961917877197,171002.03125,6.033733367919922,-27179.75,-0.13714555308044998,192.20113045803333,3.3917725758009087,0.0
UA0502,Vinnytskyi,Vinnytska,6890.77399669,0,176.86548441793133,410,6,8,396,652929.125,3.1032605171203613,563319.3125,2.65278697013855,-89609.8125,-0.13724278649692645,81.74978787152094,7.278287658564874,0.0
UA0504,Haisynskyi,Vinnytska,5676.62626747,0,103.85967566589332,264,3,5,256,237024.34375,1.6133983135223389,204493.390625,1.3713619709014893,-32530.953125,-0.13724730806263438,36.02375442555603,12.909952697890526,0.0
UA0506,Zhmerynskyi,Vinnytska,3145.9460179,0,83.49971211894118,215,3,2,210,161925.5625,1.8509374856948853,139702.578125,1.5838396549224854,-22222.984375,-0.13724197731287793,44.40717587972316,15.389837674121306,0.0
